Job Name,Image Count,Annotation Count,All Image/Annotation Pairs Present,red_flag,red_yellow_flag,blue_flag,green_coast,flagpole,parasol,surf_zone,non_beach_flag,other_beach_flag,surf_kite,wind_sock
Job_123,60,60,True,0,60,60,0,60,0,0,0,0,0,0
Job_125,96,96,True,0,96,96,0,96,0,0,0,0,0,0
Job_126,32,32,True,0,32,32,0,32,0,0,0,0,0,0
Job_128,107,107,True,0,107,107,0,107,0,0,0,0,0,0
Job_130,111,111,True,0,111,111,0,111,0,0,0,0,0,0
Job_131,22,22,True,0,22,22,0,44,0,0,0,0,0,0
Job_142,22,22,True,0,22,22,0,0,0,0,0,0,0,0
Job_143,27,27,True,0,27,27,0,27,0,0,0,0,0,0
Job_145,21,21,True,1,10,21,0,21,0,0,0,0,0,0
Job_146,12,12,True,12,0,11,0,10,0,0,0,0,0,0
Job_147,22,22,True,0,22,22,0,5,0,0,0,0,0,0
Job_151,6,6,True,0,3,0,0,3,0,0,0,0,0,0
Job_155,61,61,True,62,0,0,0,50,16,0,0,3,0,0
Job_156,56,56,True,0,1,52,2,54,0,0,1,4,0,1
Job_157,169,169,True,1,206,5,0,64,2,6,1,0,0,0
Job_158,20,20,True,0,0,0,0,27,0,4,0,25,0,1
Job_159,17,17,True,0,0,0,0,2,15,0,3,0,3,1
Job_160,12,12,True,12,0,12,0,12,0,0,0,0,0,0
TOTAL,15535,20712,,6102,13538,14889,187,19506,33,1666,5,32,3,3
